route_id,direction_id,stop_id,stop_sequence,mean_delay,n_obs,stop_name,boardings,alightings,total_b_a,geometry,spacing_ft
22,0,60329,3,79.4,30,El Camino & Palm,12.793263517528224,3.426026751026751,16.21929026855498,POINT (6079055.87151292 1986640.97191715),697.200341665931
22,0,60330,4,56.56666666666667,30,El Camino & Galvez,66.45979102596746,7.4282283892578,73.88801941522533,POINT (6079788.22634742 1985807.8761424),352.11858371274633
22,0,60331,5,15.366666666666667,30,El Camino & Sam McDonald,4.579659882601059,0.2625,4.8421598826010595,POINT (6080518.11694799 1984980.67143197),372.14417119376935
22,0,60332,6,-25.566666666666666,30,El Camino & Churchill,4.251791101055807,1.0556489262371618,5.307440027292967,POINT (6081284.45957541 1984093.84840249),309.0882202075257
22,0,60333,7,-63.56666666666667,30,El Camino & Serra,14.807890557155256,3.132273690361927,17.94016424751717,POINT (6082149.76788417 1983118.26636414),380.3849554776943
22,0,60334,8,-107.36666666666666,30,El Camino & Oxford,6.582965727083374,8.09194220811868,14.674907935202054,POINT (6083068.09708424 1982066.03356048),444.8889549368415
22,0,60335,9,-88.0,30,El Camino & California,104.72777900204368,45.388473209796736,150.11625221184042,POINT (6083824.35869507 1981339.69413389),316.1872422791411
22,0,60336,10,-8.612903225806452,31,El Camino & Page Mill,71.98633047279519,18.622602534067234,90.60863300686248,POINT (6085022.45013091 1980516.03895706),461.8969210712214
22,0,60337,11,-25.774193548387096,31,El Camino & Hansen,19.66011594614536,5.938856405032873,25.598972351178233,POINT (6086134.1431175 1979763.50437289),403.5274740434727
22,0,60338,12,-39.83870967741935,31,El Camino & Matadero,13.394566462948818,11.32767893870835,24.72224540165715,POINT (6087064.91619033 1979142.36060207),336.19148322458864
22,0,60339,13,-56.645161290322584,31,El Camino & Barron,18.257159996865877,17.555385872297638,35.81254586916349,POINT (6087694.06945957 1978711.50221181),409.3896035521072
22,0,60340,14,-76.41935483870968,31,El Camino & Los Robles,20.75738722062251,13.965986382898148,34.72337360352065,POINT (6088605.43377858 1978089.29413864),474.81815820308884
22,0,60341,15,-84.12903225806451,31,El Camino & Vista,16.23884114251761,11.142951329716034,27.38179247223364,POINT (6089308.15218942 1977359.31069048),854.9607620064413
22,0,60342,16,-107.16129032258064,31,El Camino & Maybell,12.098414167531812,11.750090432443372,23.848504599975172,POINT (6089784.94716758 1976597.58025856),353.4782293021264
22,0,60343,17,-82.41935483870968,31,El Camino & Arastradero,66.26076929606343,36.60595572727924,102.86672502334268,POINT (6090330.29056507 1975716.68208598),248.33218322578216
22,0,60344,18,-127.96774193548387,31,El Camino & Dinah's Court,7.882565473741944,6.466390227419639,14.34895570116158,POINT (6091084.04069799 1974505.17105757),456.8368546143106
22,0,60345,19,-161.8709677419355,31,El Camino & Los Altos,17.304406214700336,12.014651769798824,29.319057984499157,POINT (6091730.27234517 1973724.88488849),324.425211412117
